url,created,content,tags,locale,product
https://support.mozilla.org/en-US/questions/1356248,2021-11-02 00:29:40 UTC,"<p>Hi Mozilla Firefox Team,
</p><p>As my project is using indexDB, it doesn't load in Firefox Private Mode.
Can you help me on how I can access &amp; change ""dom.indexedDB.privateBrowsing.enabled"" config value from JavaScript code.
Before there use to be a Preference API by Firefox, but now when I go to that link it displays 'page not found'
</p>","[{""name""=>""desktop"", ""slug""=>""desktop""}, {""name""=>""beta"", ""slug""=>""beta""}, {""name""=>""fix-problems"", ""slug""=>""fix-problems""}, {""name""=>""Windows 10"", ""slug""=>""windows-10""}, {""name""=>""Firefox 94.0"", ""slug""=>""firefox-940""}]",en-US,firefox
https://support.mozilla.org/en-US/questions/1356252,2021-11-02 01:48:11 UTC,"<p>update
</p>","[{""name""=>""Windows XP"", ""slug""=>""windows-xp""}, {""name""=>""desktop"", ""slug""=>""desktop""}, {""name""=>""other"", ""slug""=>""other""}, {""name""=>""Firefox 52.0"", ""slug""=>""firefox-520""}]",en-US,firefox
https://support.mozilla.org/en-US/questions/1356254,2021-11-02 02:11:43 UTC,"<p>Be descriptive. Saying “playing video on YouTube is always choppy” will help us understand the issue better than saying “something is wrong” or “the app is broken”.
</p>","[{""name""=>""Windows 7"", ""slug""=>""windows-7""}, {""name""=>""desktop"", ""slug""=>""desktop""}, {""name""=>""other"", ""slug""=>""other""}, {""name""=>""Firefox 93.0"", ""slug""=>""firefox-930""}]",en-US,firefox
https://support.mozilla.org/en-US/questions/1356257,2021-11-02 02:48:40 UTC,"<p><a href=""https://mobile.facebook.com/help/541469169337994/?ref=share"" rel=""nofollow"">https://mobile.facebook.com/help/541469169337994/?ref=share</a>
</p>","[{""name""=>""desktop"", ""slug""=>""desktop""}, {""name""=>""cookies"", ""slug""=>""cookies""}, {""name""=>""needsinfo"", ""slug""=>""needsinfo""}]",en-US,firefox
https://support.mozilla.org/en-US/questions/1356261,2021-11-02 03:18:08 UTC,"<p>How do I block Cortana and Bing in Firefox?
</p>","[{""name""=>""desktop"", ""slug""=>""desktop""}, {""name""=>""privacy-and-security"", ""slug""=>""privacy-and-security_1""}, {""name""=>""Windows 10"", ""slug""=>""windows-10""}, {""name""=>""Firefox 93.0"", ""slug""=>""firefox-930""}]",en-US,firefox
https://support.mozilla.org/en-US/questions/1356265,2021-11-02 04:06:38 UTC,"<p>Why is Firefox directing users away from https to an http mode?               I've been switching to Chrome to avoid insecurity in this regard.<em></em>
</p>","[{""name""=>""Mac OS"", ""slug""=>""mac-os""}, {""name""=>""desktop"", ""slug""=>""desktop""}, {""name""=>""privacy-and-security"", ""slug""=>""privacy-and-security_1""}, {""name""=>""Firefox 93.0"", ""slug""=>""firefox-930""}]",en-US,firefox
https://support.mozilla.org/en-US/questions/1356266,2021-11-02 04:12:38 UTC,"<p>Dear Sir / Mrs.,
</p><p>I want firefox to ask me if i want to save username / password for websites but it doesnt work. Even with enabling the options in te security and privacy section.
I always use private browser mode and the following add ons:
https everywhere
ublock
privacy badger
cookie autodelete
webrtc
</p><p>Can u please help?
</p>","[{""name""=>""desktop"", ""slug""=>""desktop""}, {""name""=>""privacy-and-security"", ""slug""=>""privacy-and-security_1""}, {""name""=>""Windows 10"", ""slug""=>""windows-10""}, {""name""=>""Firefox 93.0"", ""slug""=>""firefox-930""}]",en-US,firefox
https://support.mozilla.org/en-US/questions/1356267,2021-11-02 04:22:39 UTC,"<p>I'm pretty sure this is a Firefox Relay extension problem. I used the relay extension for my Weebly website. Now, when I go to sign in, it no longer recognizes my user name and says there has been an error - that my user name is incorrect. The situation has not changed when I turn off Relay Extension and restart Firefox. I used the relay address to sign in just for the heck of it, and that doesn't work either. I can log into my Weebly site with Safari though - which means that something went wrong with Firefox and not Weebly. I had also used Relay on my Craigslist account and my accounts were automatically shut down. At the time, I did not think it was due to the Relay, but now I wonder. I had to open a new account with a new email address in order to use Craigslist again. (I have an ongoing ad). Anyway, I think there might be something wrong with Relay.
</p>","[{""name""=>""Mac OS"", ""slug""=>""mac-os""}, {""name""=>""desktop"", ""slug""=>""desktop""}, {""name""=>""websites"", ""slug""=>""websites""}, {""name""=>""Firefox 93.0"", ""slug""=>""firefox-930""}]",en-US,firefox
https://support.mozilla.org/en-US/questions/1356268,2021-11-02 04:43:53 UTC,"<p>I have a NAS on my local network at address 192.168.1.144. I know that I should be able to access it using http://192.168.1.144/web/relogin.html but (having set both the firefox advanced preferences to not cache, restarted firefox, cleared the recent history, and with the NAS physically turned off I am still getting a 404 reply with the browser address bar showing http://192.168.1.144/2.0/gui/web/relogin.html, which isn't even what I typed. What is going on here?
</p>","[{""name""=>""Windows 7"", ""slug""=>""windows-7""}, {""name""=>""desktop"", ""slug""=>""desktop""}, {""name""=>""other"", ""slug""=>""other""}, {""name""=>""Firefox 93.0"", ""slug""=>""firefox-930""}]",en-US,firefox
https://support.mozilla.org/en-US/questions/1356272,2021-11-02 05:23:43 UTC,"<p>Hello, about 3 days ago, logging into my gmail account became problematic. My inbox can't simply load unless i open in a private window. What could be the issue, any solutions please?
</p>","[{""name""=>""desktop"", ""slug""=>""desktop""}, {""name""=>""other"", ""slug""=>""other""}, {""name""=>""Windows 10"", ""slug""=>""windows-10""}, {""name""=>""Firefox 93.0"", ""slug""=>""firefox-930""}]",en-US,firefox
https://support.mozilla.org/en-US/questions/1356275,2021-11-02 06:07:50 UTC,"<p>Every time I've tried to use Spotify Web for the past week, I get an error message that states:
""Firefox is installing components needed to play audio and video on this page. Please try again later.""
</p><p>I've tried to enable and re-enable DRM, it hasn't worked. On opening browser console, I get the following message:
</p><p>1635858182761	Toolkit.GMP	ERROR	GMPInstallManager.simpleCheckAndInstall Could not check for addons: {""status"":""failed"",""results"":[{""id"":""gmp-widevinecdm"",""result"":""failed""}]}
</p><p>I went into plugins and this is what showed under Widevine:
Widevine Content Decryption Module provided by Google Inc. will be installed shortly.
</p><p>The only security software I have is McAfee ,and I'd gladly exempt Widevine from it's firewall, except I have no idea where it is or what to do. 
</p><p>Please advise. Thank you.
</p>","[{""name""=>""desktop"", ""slug""=>""desktop""}, {""name""=>""fix-problems"", ""slug""=>""fix-problems""}, {""name""=>""Windows 10"", ""slug""=>""windows-10""}, {""name""=>""Firefox 93.0"", ""slug""=>""firefox-930""}]",en-US,firefox
https://support.mozilla.org/en-US/questions/1356276,2021-11-02 06:14:38 UTC,"<ul><li> # <em><strong>Bulleted list item</strong></em>
</li></ul>","[{""name""=>""Windows 7"", ""slug""=>""windows-7""}, {""name""=>""desktop"", ""slug""=>""desktop""}, {""name""=>""sync"", ""slug""=>""sync""}, {""name""=>""Firefox 93.0"", ""slug""=>""firefox-930""}]",en-US,firefox
https://support.mozilla.org/en-US/questions/1356278,2021-11-02 06:31:22 UTC,"<p>Inspect element is not shown when right click on the Firefox browser as happens in all the other browsers. Appreciate for the help. Thank you.
</p>","[{""name""=>""desktop"", ""slug""=>""desktop""}, {""name""=>""other"", ""slug""=>""other""}, {""name""=>""Windows 10"", ""slug""=>""windows-10""}, {""name""=>""Firefox 93.0"", ""slug""=>""firefox-930""}]",en-US,firefox
https://support.mozilla.org/en-US/questions/1356279,2021-11-02 06:35:38 UTC,"<p>The font format you are now using is completely different when I log into Thunderbird.
How can I change it, and go back to what I was using before please?
</p>","[{""name""=>""Windows 7"", ""slug""=>""windows-7""}, {""name""=>""desktop"", ""slug""=>""desktop""}, {""name""=>""download-and-install"", ""slug""=>""download-and-install_1""}, {""name""=>""Firefox 93.0"", ""slug""=>""firefox-930""}]",en-US,firefox
https://support.mozilla.org/en-US/questions/1356285,2021-11-02 07:10:34 UTC,"<p><strong>bold text</strong>
</p><p><em>duplicate. <a href=""https://support.mozilla.org/en-US/questions/1356287"" rel=""nofollow"">https://support.mozilla.org/en-US/questions/1356287</a></em>
</p>","[{""name""=>""desktop"", ""slug""=>""desktop""}, {""name""=>""websites"", ""slug""=>""websites""}]",en-US,firefox
https://support.mozilla.org/en-US/questions/1356287,2021-11-02 07:18:45 UTC,"<p>Where and how to start browsing
</p>","[{""name""=>""desktop"", ""slug""=>""desktop""}, {""name""=>""other"", ""slug""=>""other""}]",en-US,firefox
